train_acc,val_acc
0.9745535850524902,0.9647619128227234
0.98416668176651,0.9757142663002014
0.9952380657196045,0.982619047164917
0.9971428513526917,0.98416668176651
0.9987202286720276,0.9839285612106323
0.9990178346633911,0.987500011920929
0.9994345307350159,0.9872618913650513
0.9995833039283752,0.987500011920929
0.9999404549598694,0.9891666769981384
0.9994047284126282,0.9867857098579407
0.9999701976776123,0.9888095259666443
1.0,0.9897618889808655
0.9999701976776123,0.9892857074737549
1.0,0.9889285564422607
1.0,0.9902380704879761
1.0,0.9892857074737549
1.0,0.9898809194564819
1.0,0.9895238280296326
1.0,0.9895238280296326
1.0,0.9897618889808655
1.0,0.9900000095367432
1.0,0.9895238280296326
1.0,0.989642858505249
1.0,0.9902380704879761
1.0,0.9898809194564819
1.0,0.9895238280296326
1.0,0.989642858505249
1.0,0.9898809194564819
1.0,0.989642858505249
1.0,0.9895238280296326
1.0,0.9895238280296326
1.0,0.9895238280296326
1.0,0.9895238280296326
1.0,0.9894047379493713
1.0,0.9897618889808655
1.0,0.9897618889808655
1.0,0.9895238280296326
1.0,0.9898809194564819
1.0,0.9898809194564819
1.0,0.9897618889808655
